,happiness_score,economy_GDP_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,Component 1,Component 2,Component 3,Segment K-means PCA,Segment
6,1.746294837574638,0.8121713591834914,0.7496873302579664,1.1801514203717325,1.1325236357612531,1.6895339545857098,2.377120003720365,-3.0356182976662343,2.242437175400248,-0.8379859662178183,0,high
7,1.733738449860813,0.8173877838710664,0.7767020297804467,1.2549761417641139,1.4178911202686197,2.774790454643786,1.3939893058595907,-3.429523820168126,2.1744566950422097,0.3784674640294014,0,high
8,1.6637814325980755,0.6300331121627005,0.869584030385829,1.2446011110663353,1.2855749523839595,2.691614520059119,2.3676768202460234,-3.3220356761234875,2.7866096326997067,-0.38294286058895055,0,high
9,1.6619876629246724,0.8216850147810952,0.8378948772381103,1.3408398958189327,1.3624245973943452,2.0344163818277736,2.026422694508132,-3.26421600306898,2.1926296737207074,-0.45120491226770304,0,high
10,1.6566063539044615,0.5803736683307635,0.5789787121518645,1.2674261786014487,-0.18007607669690162,-0.4781824577081816,1.1262880495686327,-1.7306269735433408,-0.08799262721518178,-1.4266647165684962,2,medium
11,1.6099683423959703,-0.046493508111346,0.6213219771337304,1.044985520441069,1.2491588474127653,-0.2257678536215235,0.46136664437992614,-1.8847273961957884,0.23527765175122048,-0.6698899740749658,0,high
12,1.5866493366417247,0.8300726580012047,0.8008938449708028,1.1701083906562826,1.1880549559753348,0.5043219930094003,1.1190107338636357,-2.605851509356039,0.782727236581252,-0.6546277874684756,0,high
13,1.574989833764602,0.10232396447339334,-0.3602222233813855,0.8547904576893861,0.2645632690545849,0.7421221704119845,-0.5282616567888805,-1.3401816759380958,-0.06241736286863685,0.7613025180438112,2,medium
14,1.5140016648688819,0.9617012069458288,0.6493383452901901,1.0512935391053184,0.6807565826310633,0.2529899390474884,1.7269264993631996,-2.2983301626130315,0.9427278378891066,-1.1585146870972516,0,high
15,1.3920253270774425,0.01201317582947344,0.6061148260542212,0.36749601587610586,0.320807360006536,0.4001265435025774,-0.484944301401994,-1.2930022674517427,-0.2821636534556837,0.17868407709433662,2,medium
16,1.3588405881194774,1.3509797717366694,0.5659266663151604,1.2884667408565444,1.1329772171398982,2.229365616792487,0.6811589056129878,-3.127503739172754,1.2457062915355124,0.7000934804656844,0,high
